transactID,account,currency,transactType,amount,fee,transactStatus,address,tx,text,timestamp,walletBalance,marginBalance
ddc02265-bab9-ce0b-181b-8bf0833aabdf,1501242,XBt,RealisedPNL,-230888,0,Completed,ETHUSD,c0ccb158-bf93-9840-ec9d-6030540ad0fb,"",2021-12-09T12:00:00.004Z,6047727076,
57b8701a-1c9c-530a-61a3-f5fa30bf4fc4,1501242,XBt,RealisedPNL,59888,0,Completed,XBTUSD,c0ccb158-bf93-9840-ec9d-6030540ad0fb,"",2021-12-09T12:00:00.004Z,6047727076,
2064e675-4149-702d-d0c5-72e51ec56355,1501242,XBt,RealisedPNL,89920,0,Completed,LTCZ21,c0ccb158-bf93-9840-ec9d-6030540ad0fb,"",2021-12-09T12:00:00.004Z,6047727076,
4ef4ce9c-15ad-8c3c-a917-e0ed5aca07b3,1501242,XBt,RealisedPNL,1604179,0,Completed,ETHZ21,b4b1bfa4-3bff-9789-3e15-debb7addab3b,"",2021-12-08T12:00:00.004Z,6035307300,
3329619f-2913-076c-213e-c79893758fd6,1501242,XBt,RealisedPNL,15227724,0,Completed,XBTUSD,b4b1bfa4-3bff-9789-3e15-debb7addab3b,"",2021-12-08T12:00:00.004Z,6035307300,
f5225951-07ec-ecd3-c9b5-afd9a3055230,1501242,XBt,RealisedPNL,5089540,0,Completed,ETHZ21,b3071294-c89c-6530-9db0-f4fc1f4a601b,"",2021-12-07T12:00:00.006Z,6018475397,
6de81529-6d8b-6c31-e69f-791c2b0282d9,1501242,XBt,RealisedPNL,3772047,0,Completed,LTCZ21,b3071294-c89c-6530-9db0-f4fc1f4a601b,"",2021-12-07T12:00:00.006Z,6018475397,
63a70e73-e863-3e83-79d6-55f54037e5b9,1501242,XBt,RealisedPNL,1825222,0,Completed,XBTUSD,b3071294-c89c-6530-9db0-f4fc1f4a601b,"",2021-12-07T12:00:00.006Z,6018475397,
0c2f5f1b-bf00-14b5-9c82-a494f478699d,1501242,XBt,RealisedPNL,4655123,0,Completed,ETHUSD,b3071294-c89c-6530-9db0-f4fc1f4a601b,"",2021-12-07T12:00:00.006Z,6018475397,
d33d1f30-a70e-128a-2b4f-87dc768341b1,1501242,XBt,RealisedPNL,26553,0,Completed,ETHUSD,0c867b18-8259-9299-71a9-b12ae5f13a69,"",2021-12-06T12:00:00.004Z,6003133465,
c00d52f6-77f1-0029-f602-f35b3273cc7d,1501242,XBt,RealisedPNL,18240,0,Completed,ETHZ21,0c867b18-8259-9299-71a9-b12ae5f13a69,"",2021-12-06T12:00:00.004Z,6003133465,
259c1c28-df24-103b-93aa-3050108a0105,1501242,XBt,RealisedPNL,2039196,0,Completed,XBTUSD,0c867b18-8259-9299-71a9-b12ae5f13a69,"",2021-12-06T12:00:00.004Z,6003133465,
ef25f1f7-624a-1668-0b15-e39cdea9d243,1501242,XBt,RealisedPNL,38220,0,Completed,ETHZ21,1baf0fd1-5248-df5e-b835-65cf5d2df115,"",2021-12-05T12:00:00.005Z,6001049476,
3fe29387-5819-1c5b-a439-f66a36e24b72,1501242,XBt,RealisedPNL,3888790,0,Completed,ETHUSD,1baf0fd1-5248-df5e-b835-65cf5d2df115,"",2021-12-05T12:00:00.005Z,6001049476,
117001a0-a3b9-22a9-b7b3-34d92c66bcb5,1501242,XBt,RealisedPNL,3017505,0,Completed,XBTUSD,1baf0fd1-5248-df5e-b835-65cf5d2df115,"",2021-12-05T12:00:00.005Z,6001049476,
fee8dedb-587a-ec29-7e8b-d36dfa2c31d3,1501242,XBt,RealisedPNL,40384798,0,Completed,ETHZ21,41708fc2-41e9-84ab-24c9-e40650f34574,"",2021-12-04T12:00:00.006Z,5994104961,
d3a302db-fdf9-0368-0e7a-c6d4093de2df,1501242,XBt,RealisedPNL,-243235370,0,Completed,ETHUSD,41708fc2-41e9-84ab-24c9-e40650f34574,"",2021-12-04T12:00:00.006Z,5994104961,
b493f483-c2a4-6dac-31b1-245390f208bb,1501242,XBt,RealisedPNL,89708025,0,Completed,XBTUSD,41708fc2-41e9-84ab-24c9-e40650f34574,"",2021-12-04T12:00:00.006Z,5994104961,
1f7d68f6-29b9-47ef-2d35-1e9feb1e48aa,1501242,XBt,RealisedPNL,-11301375,0,Completed,TRXZ21,41708fc2-41e9-84ab-24c9-e40650f34574,"",2021-12-04T12:00:00.006Z,5994104961,
cdec7bee-4e32-0209-6a4d-5958f13a9651,1501242,XBt,RealisedPNL,1266,0,Completed,ETHZ21,b46e80e6-2de9-b9ef-774a-e7e43b0ff959,"",2021-12-03T12:00:00.005Z,6118548883,
74d12aae-b34d-cc48-7773-ebfd87b4737e,1501242,XBt,RealisedPNL,-343274,0,Completed,ETHUSD,b46e80e6-2de9-b9ef-774a-e7e43b0ff959,"",2021-12-03T12:00:00.005Z,6118548883,
ea107d5d-0884-8ff6-2577-63c5d37db030,1501242,XBt,RealisedPNL,-3267267,0,Completed,LTCUSD,e46ca2cf-2f72-af90-98a6-e73cdcbe5d3c,"",2021-12-02T12:00:00.004Z,6118890891,
b1af5918-645b-e10d-8117-054f6ab7e140,1501242,XBt,RealisedPNL,160556396,0,Completed,ETHUSD,e46ca2cf-2f72-af90-98a6-e73cdcbe5d3c,"",2021-12-02T12:00:00.004Z,6118890891,
5f4f541b-edeb-a178-dc9d-73198cbd3764,1501242,XBt,RealisedPNL,25128447,0,Completed,ETHZ21,e46ca2cf-2f72-af90-98a6-e73cdcbe5d3c,"",2021-12-02T12:00:00.004Z,6118890891,
4864a651-8b0f-0fec-fbf8-3570b474e65a,1501242,XBt,RealisedPNL,4318923,0,Completed,XBTUSD,e46ca2cf-2f72-af90-98a6-e73cdcbe5d3c,"",2021-12-02T12:00:00.004Z,6118890891,
eb79e25d-5160-711f-cc60-4faa3422235c,1501242,XBt,RealisedPNL,-612124,0,Completed,LTCUSD,ce83d154-29c1-9aa8-03b7-02f7fd37edce,"",2021-12-01T12:00:00.003Z,5932154392,
7743e2a7-a4a6-5187-c7fd-ed6ef4e58a1b,1501242,XBt,RealisedPNL,-71371,0,Completed,XBTUSD,ce83d154-29c1-9aa8-03b7-02f7fd37edce,"",2021-12-01T12:00:00.003Z,5932154392,
6d83a14c-edf2-af27-28dc-01e238ffcb58,1501242,XBt,RealisedPNL,-3621369,0,Completed,ETHUSD,ce83d154-29c1-9aa8-03b7-02f7fd37edce,"",2021-12-01T12:00:00.003Z,5932154392,
d5d2b9dd-e63c-d47b-c825-07873a8fb997,1501242,XBt,RealisedPNL,-44103,0,Completed,XBTUSD,30ec096a-0117-0ebc-2fb7-8e3d011f5389,"",2021-11-30T12:00:00.004Z,5936459256,
3b828d7b-6df7-462e-d443-68a0356ec264,1501242,XBt,RealisedPNL,-795973,0,Completed,LTCUSD,30ec096a-0117-0ebc-2fb7-8e3d011f5389,"",2021-11-30T12:00:00.004Z,5936459256,
12314b79-694a-1263-4a04-ce0690a761e2,1501242,XBt,RealisedPNL,-11459,0,Completed,ETHZ21,30ec096a-0117-0ebc-2fb7-8e3d011f5389,"",2021-11-30T12:00:00.004Z,5936459256,
0ceab197-337e-c752-38a2-31392924cb33,1501242,XBt,RealisedPNL,-4795721,0,Completed,ETHUSD,30ec096a-0117-0ebc-2fb7-8e3d011f5389,"",2021-11-30T12:00:00.004Z,5936459256,
d25c38a9-c791-2143-ae11-fe776a420c3d,1501242,XBt,RealisedPNL,-467412,0,Completed,LTCUSD,de8a9b6a-2723-e401-54cc-a742e7db9047,"",2021-11-29T12:00:00.009Z,5942106512,
